weld force(bar),weld current(kA),weld Voltage(v),weld time(ms)
2.33,14.570000000000002,2.701,72.0
2.3600000000000003,14.570000000000002,2.701,72.0
2.37,14.540000000000001,2.7030000000000003,71.0
2.37,14.540000000000001,2.7030000000000003,72.0
2.3600000000000003,14.56,2.7039999999999997,72.0
2.34,14.56,2.7039999999999997,71.0
2.35,14.53,2.7,72.0
2.33,14.53,2.7,70.0
2.32,14.570000000000002,2.701,71.0
2.32,14.570000000000002,2.701,72.0
2.33,14.590000000000002,2.698,72.0
2.3600000000000003,14.590000000000002,2.698,72.0
2.37,14.590000000000002,2.699,73.0
2.37,14.590000000000002,2.699,71.0
2.3600000000000003,14.590000000000002,2.7,71.0
2.3600000000000003,14.590000000000002,2.7,72.0
2.34,14.58,2.705,72.0
2.35,14.58,2.705,72.0
2.36,14.549999999999999,2.7039999999999997,72.0
2.36,14.549999999999999,2.7039999999999997,72.0
2.34,14.549999999999999,2.7030000000000003,72.0
2.34,14.549999999999999,2.7030000000000003,72.0
2.3600000000000003,14.570000000000002,2.701,71.0
2.3600000000000003,14.570000000000002,2.701,71.0
2.38,14.58,2.699,71.0
2.38,14.58,2.699,71.0
2.3,14.610000000000001,2.7,71.0
2.3,14.610000000000001,2.7,72.0
2.3600000000000003,14.56,2.7039999999999997,73.0
2.3600000000000003,14.56,2.7039999999999997,71.0
2.38,14.590000000000002,2.71,72.0
2.38,14.590000000000002,2.71,71.0
2.3600000000000003,14.590000000000002,2.707,72.0
2.3600000000000003,14.590000000000002,2.707,73.0
2.33,14.570000000000002,2.7039999999999997,71.0
2.3600000000000003,14.570000000000002,2.7039999999999997,72.0
2.38,14.62,2.7,72.0
2.31,14.62,2.7,72.0
2.3,14.610000000000001,2.698,71.0
2.3,14.610000000000001,2.698,72.0
2.34,14.610000000000001,2.6910000000000003,72.0
2.34,14.610000000000001,2.6910000000000003,71.0
2.33,14.610000000000001,2.699,72.0
2.33,14.610000000000001,2.699,70.0
2.37,14.6,2.7039999999999997,71.0
2.37,14.6,2.7039999999999997,72.0
2.31,14.6,2.71,72.0
2.31,14.6,2.71,72.0
2.3600000000000003,14.570000000000002,2.7110000000000003,73.0
2.3600000000000003,14.570000000000002,2.7110000000000003,71.0
2.35,14.590000000000002,2.7089999999999996,71.0
2.35,14.590000000000002,2.7089999999999996,72.0
2.38,14.590000000000002,2.7030000000000003,72.0
2.38,14.590000000000002,2.7030000000000003,72.0
2.34,14.590000000000002,2.697,72.0
2.34,14.590000000000002,2.697,72.0
2.35,14.6,2.6889999999999996,72.0
2.35,14.6,2.6889999999999996,72.0
2.37,14.590000000000002,2.6919999999999997,71.0
2.37,14.590000000000002,2.6919999999999997,71.0
2.34,14.63,2.701,71.0
2.34,14.63,2.701,71.0
2.3,14.58,2.708,71.0
2.3,14.58,2.708,72.0
2.31,14.6,2.71,73.0
2.31,14.6,2.71,71.0
2.25,14.62,2.7110000000000003,72.0
2.25,14.62,2.7110000000000003,71.0
2.19,14.610000000000001,2.705,72.0
2.19,14.610000000000001,2.705,73.0
2.17,14.639999999999999,2.701,71.0
2.17,14.639999999999999,2.701,72.0
2.16,14.639999999999999,2.698,72.0
2.16,14.639999999999999,2.698,72.0
2.18,14.65,2.699,72.0
2.18,14.65,2.699,72.0
2.2600000000000002,14.6,2.702,72.0
2.2600000000000002,14.6,2.702,72.0
2.3600000000000003,14.570000000000002,2.701,71.0
2.3600000000000003,14.570000000000002,2.701,71.0
2.37,14.6,2.707,72.0
2.37,14.6,2.707,71.0
2.38,14.590000000000002,2.7030000000000003,73.0
2.38,14.590000000000002,2.7030000000000003,72.0
2.35,14.549999999999999,2.702,72.0
2.35,14.549999999999999,2.702,72.0
2.38,14.58,2.698,72.0
2.38,14.58,2.698,72.0
2.35,14.58,2.697,72.0
2.35,14.58,2.697,72.0
2.37,14.549999999999999,2.701,72.0
2.37,14.549999999999999,2.701,72.0
2.3899999999999997,14.570000000000002,2.7060000000000004,71.0
2.3899999999999997,14.570000000000002,2.7060000000000004,71.0
2.35,14.58,2.7089999999999996,72.0
2.35,14.58,2.7089999999999996,71.0
2.38,14.549999999999999,2.7060000000000004,73.0
2.33,14.549999999999999,2.7060000000000004,72.0
2.38,14.590000000000002,2.7039999999999997,72.0
2.33,14.590000000000002,2.7039999999999997,72.0
2.38,14.58,2.7030000000000003,72.0
2.33,14.58,2.7030000000000003,72.0
2.37,14.58,2.695,71.0
2.37,14.58,2.695,72.0
2.34,14.6,2.694,72.0
2.3600000000000003,14.6,2.694,71.0
2.37,14.56,2.698,72.0
2.35,14.56,2.698,70.0
2.3899999999999997,14.570000000000002,2.7039999999999997,71.0
2.3899999999999997,14.570000000000002,2.7039999999999997,72.0
2.38,14.570000000000002,2.708,72.0
2.38,14.570000000000002,2.708,72.0
2.38,14.540000000000001,2.7089999999999996,73.0
